BuySignal,SellSignal,Description
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
True,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
False,False,20-day and 60-day moving-average crossover.
